SMILES,D2R_Activity,D2R_pIC50,_5HT2A_Activity,_5HT2A_pIC50
COC(=O)C1[C@@H](C)C[C@@H](N=C(O)N2CCN(c3cccc4c3ccn4C)CC2)[C@@H]1C,0.010384711436927319,-3.0640870613658704,0.01649896614253521,-3.07013374295686
CN1C(=O)C(CC2=Cc3ccccc3Oc3ccc(Cl)cc32)[C@H](O)Nc2cc(O)ccc21,0.009187567047774792,-1.4283404313602286,0.012984641827642918,-1.6250678922881256
C#CCN(C)[C@H](C)Cc1ccc2ccccc2c1,0.004400225356221199,-3.1386550321902225,0.012205085717141628,-3.0364816007482416
COc1ccc(/C=N/Nc2nc(-c3ccc4c(c3)OCC(O)=N4)cs2)cc1,0.005894127301871777,-4.081308269746253,0.013601347804069519,-3.222244131285776
Cc1c(C(=O)N2CCC(C)CC2)sc2ncn(-c3ccc(F)cc3)c(=O)c12,0.004133840557187796,-3.395911809621492,0.01607554219663143,-2.2888595223661756
CCC(C)N(C)Cc1ccc(O)c(O)c1,0.04246744140982628,-1.4299764866890625,0.07348817586898804,-3.455902751237053
C#CCN1CCC(/C=C/c2ccc(OCc3cccc(Cl)c3)cc2)CC1,0.017151154577732086,-3.6227948100283602,0.0036716856993734837,-3.5424921780211625
CC1CCCN(c2ncnc3oc(-c4ccccc4Br)c(-c4ccccc4)c23)C1,0.009878946468234062,-2.769954285435454,0.013919392600655556,-3.3022564886783443
O=C(C=Cc1cncc(-c2ccccc2)c1)NCc1ccccc1Cl,0.004717274568974972,-2.678528420902719,0.008858262561261654,-2.6970233044897767
OC(=NCc1cccc(F)c1)C1COc2ccccc21,0.0049607292748987675,-3.396552330267327,0.017313143238425255,-2.788096159462655
CCN(Cc1ccccc1)C(=O)c1ccc(NC(=O)c2cccs2)cc1,0.0029046020936220884,-4.22725660810885,0.008530518971383572,-2.5668582321887934
Cc1cc(C)cc(-c2nc3cc(-c4ccc(S(=O)(=O)N4CCOCC4)cc4cc3o2)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COC[C@@H]1O[C@@H](CO)[C@H](OC(=O)Cc2ccc3c(c2)OCO3)[C@@H](O)[C@H]1O,0.0019608084112405777,-4.64814596447471,0.013752651400864124,-3.6209792066336925
Cc1ccc(-n2nnnc2SCC(O)=Nc2nnc(-c3ccoc3C)o2)cc1,0.007942385040223598,-3.6546162892503333,0.01288551464676857,-4.366405211896584
CCCCN=C(O)NCc1cc(C(=O)CC)ccc1Br,0.017855560407042503,-3.1847598264308212,0.0037623206153512,-3.7223028432837877
O=C(/C=C/c1ccc(O)cc1)c1ccc2c(c1)OCO2,0.007481232285499573,-3.2793561596993124,0.009129510261118412,-3.8476744041553026
C#CCN1CCC(/C=C\c2c(F)cccc2F)CC1,0.012543130666017532,-1.9087592540904357,0.0012758431257680058,-3.182628906667796
F[C@H](F)n1ccnc1C1=CC2=C(C1)CCCCC2,0.009963169693946838,-3.2095824706783236,0.007382097188383341,-3.2288557252707806
C[C@H]1[C@H]2C=C(OC(=O)CCOc3cc(F)cc(F)c3)[C@H](C(=O)O)C2(C)[C@H]1C(=O)CO,0.003079361980780959,-1.4993925309136418,0.010921554639935493,-3.4385031621536006
COc1ccc(-c2noc(-c3ccc(-n4cnnn4)cc3)n2)cc1OC,0.008434856310486794,-3.254690068703768,0.018616626039147377,-4.330701140104921
CCn1cc2c(n1)C(CC(=O)Nc1nc(-c3ccccc3)cs1)CS2,0.008691859431564808,-3.4496318672661457,0.013198230415582657,-2.977898604783058
COc1ccc(C(C)=O)cc1CSc1nnc(SCc2ccccc2)n1Cc1cccnc1,0.005587179679423571,-3.6345184886082076,0.003054950153455138,-3.6110436465851135
CCCCc1ccc(NC(=O)C2COc3ccccc3O2)c(O)c1,0.012178135104477406,-3.0732366574079237,0.011534851044416428,-2.365405063152082
Cc1cccnc1N=C(O)c1ccc(OCc2cc(C(=O)N3CCOCC3)ccc2O)cc1,0.003144612768664956,-4.234466734589059,0.008955835364758968,-3.641891841023126
C=CCOC1CCC23CCC4=CC(=O)C=CC4(C)C3C(O)CC21C(=O)OCC(=O)C,0.007673129439353943,-0.6754580273775246,0.040359511971473694,-3.1122580457631486
CSc1nccc([C@@H](O)[C@H](CN=C(O)O[C@@H](c2ccccc2)N(C)C)N2CCCC(=O)[C@H]2O)n1,0.0007876749732531607,-3.937304570156649,0.009430506266653538,-4.134654377992224
COc1ccc(OCCNC(OC)=O)c(Br)c1,0.0055447351187467575,-3.0522522447463074,0.003516119671985507,-3.5389163973644147
Cc1nc2ccccc2c(C)c1CCC(O)=NCCc1ccccc1,0.0036016430240124464,-3.4863670970688094,0.012569244019687176,-3.231029364121051
Cc1ccc(-n2nnnc2SCC(O)=Nc2cccc(S(N)(=O)=O)c2)cc1,0.005583485122770071,-3.487430569955488,0.010532046668231487,-3.5972477802418346
COc1ccc(/C=C2\N=C(O)C(NS(=O)(=O)c3ccc(S(=O)(=O)N4CCOCC4)cc3)C=C2O)c(OCc1OC,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1ccc(N=C(O)C(C)NS(=O)(=O)c2ccc(C(O)=Nc3c(C)nn(C)c3C)cc2)cc1,0.004393910989165306,-3.7245022701528123,0.0041902391240000725,-3.372294529815275
Cc1c(N)c(=O)n(-c2ccccc2)c1/C=N/Nc1nnc(C(C)C)s1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCC1(O)CCc2c(sc(NCCc3ccccc3)c2C(=O)OC)C1O,0.005683861207216978,-2.410805802425188,0.017064237967133522,-3.0758528023155423
COC(=O)[C@@]1(C)[C@@H](C)C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,0.006690172478556633,3.173590317453727,0.06927143037319183,-3.6079379108798255
COc1cccc(CN2CCN(c3nccs3)CC2)c1,0.029911568388342857,-3.416084886900983,0.634627103805542,-3.7041509673388964
CC1CC(=O)N(C)c2ccc(OCCC(O)=Nc3cc(-c4ccccc4)cs3)cc21,0.005572881083935499,-3.2759008189678616,0.0099439462646842,-3.109835144721556
CCOc1cc(CC(=O)OCC(=O)c2ccc(C)cc2)ccc1OCC,0.005202500149607658,-3.7375618205854515,0.006051819771528244,-3.9806910802561943
COc1cc(Br)c(S(=O)(=O)n2cc(N)nn2)cc1OC,0.004227773752063513,-4.004915175079904,0.00692495983093977,-3.6776089434979253
COc1ccc(Cc2nc(-c3ccc(OC)c(OC)c3)n[nH]2)cc1OC,0.0076970201916992664,-3.5391482967384253,0.008670889772474766,-3.811219657545475
COc1cc(C)c2cc(/C=N\Nc3ccc(Cl)cc3)c(=O)oc2c1OC(F)F,0.012499419040977955,-3.938917271727968,0.008427397347986698,-2.955589873749427
CC(=O)c1nc2ccc(OCc3cccc(Cl)c3)cc2o1,0.0035544794518500566,-3.0922605775105647,0.005067599471658468,-3.434386003630496
O=C(O)C1(Cc2ccc(F)cc2)CCN(C(=O)c2cnccn2)CC1,0.003256266936659813,-2.8866176580256964,0.02893398329615593,-1.660346384655318
C/C(=C/c1ccccc1)/c1ccccc1/C(=O)C(C)(C)N=C(O)c1ccccc1,0.012098156847059727,-3.4272941828177785,0.00962604396045208,-3.535763643730286
Cc1cc(C)cc(N=C(O)c2nc(-c3ccc4c(c3)OCCO4)no2)c1,0.0034250158350914717,-3.9658293849679938,0.01463123969733715,-3.574656068445057
COc1ccc(C(O)CN2CC3(CCCC3)C2)cc1OC,0.007835477590560913,-3.396393192409794,0.010246754623949528,-3.7588621040325796
Cc1cccc(NC(=O)c2sc(-c3cccc(Br)c3)nc2C)c1,0.006193797569721937,-3.7591938615582334,0.007306377403438091,-1.4461819017646085
COc1c(O)cccc1-c1ccc(OCCN2CCN(c3ccccn3)CC2)cc1,0.7851096987724304,-2.6124164949066313,0.44368910789489746,-3.1842005145235066
OC(=N/Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1,0.008027956821024418,-4.048706608870065,0.004790563602000475,-2.6572498981254853
CCOC(=O)c1nnsc1N=C(O)c1cc(Br)ccc1O,0.006541951559484005,-3.107659842139771,0.007580526173114777,-3.8338822992463313
O=c1nc2[nH]c3cccnc3c2c(-c2ccc(F)cc2)c2ccccc12,0.003578952280804515,-2.168521852780122,0.015615655109286308,-2.4111405276065714
O=C(c1occc1-c1ccccc1)N1CCN(c2cccc(F)c2)CC1,0.0031484118662774563,-2.8824365623565313,0.03445127233862877,-1.6628692995484
C=CCN1CC/C(=C\c2ccc(OCCC)c(OC)c2)CC1=O,0.008908760733902454,-2.703106969922836,0.011242503300309181,-3.8351646796712062
CC(C)=CC1/C(C(=O)OCC(O)=N/N=C/c2cc(C)on2)CC1=O,0.010886691510677338,-4.127548155781804,0.008235209621489048,-4.280148537711722
COc1ccccc1N1CCN(CC(O)COc2ccc3c(c2)OCO3)CC1,0.7817561626434326,-2.8868762685826046,0.16624383628368378,-3.72553055693018
CC(C)(C)c1nnc(CCC(=O)Oc2ccc3c4c(c(=O)oc3c2)OCO4)o1,0.006880844011902809,-2.3361405396624138,0.00645799282938242,-4.233793427331475
CSCCCCCN=C(O)C1CCN(c2ccc3c(c2)OCO3)CC1,0.005436278413981199,-3.454980016198083,0.008992216549813747,-2.589993975006484
COC(=O)[C@H]1CN[C@H]1C[C@H]1C[C@H](O)[C@H](O)c1cc(OC)ccc1OC,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(C)Cc1cc(C(C)(C)C(O)=Nc2cc(-c3ccccc3)cc(-c3ccccc3)c2)on1,0.005853666458278894,-2.811269886314915,0.013512900099158287,-3.625744137879273
Cn1c(COc2cccc(N3CCOCC3)c2)cc(=O)c2cc(O)ccc21,0.0036125050392001867,-2.8280794225145303,0.008872809819877148,-2.772838841554091
OC(COc1cc(F)ccc1F)CN1CCN(Cc2cccc(Cl)c2)CC1,0.2978478670120239,-2.2511948928417858,0.01363519299775362,-2.7464300127886765
Oc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@@H]4[C@@H](C2)N=C14,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(C2=Nc3nc(-c4ccc5c(c4)OCO5)c[nH]c3CC2)cc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
O=C(NC1CCCN(c2ccccc2F)C1)c1ccc(Cl)cc1,0.008157903328537941,-2.236723363152911,0.010609389282763004,-2.230954268855073
O=C(CCC(O)=Nc1ccc(Br)cc1)N1CCN(c2ccc(F)c(F)c2)CC1,0.0029855144675821066,-2.505765965082,0.013241724111139774,-2.8326145480370046
Cc1cccc(-n2nnnc2SCc2ccc(Cl)cc2Cl)c1,0.00574902817606926,-2.8255779973932733,0.006131018977612257,-2.9388422890020456
CCCCCCCC(=O)O,0.006424945779144764,-3.801101025577039,0.029981428757309914,-3.2911389650671983
COc1cc2c(cc1OC)-c1nnc(COc3ccc(C(F)(F)F)cc3)o1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(C)CN(CC(O)=Nc1ccc(Cl)cc1)S(=O)(=O)c1ccc2c(c1)OCCO2,0.006811011116951704,-3.6750323656075246,0.008638924919068813,-2.49849846243757
COc1ccc(C(F)(F)F)cc1CNCCCN1CCN(Cc2ccccc2)CC1,0.09182772040367126,-3.1772143012236143,0.0030124264303594828,-3.2183580994671543
CC(=O)OCCC(=O)C1(O)CC[C@H]2C3CC(F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C,0.00693700835108757,1.914815033581128,0.021580373868346214,-3.0585206503757405
COc1ccc(S(=O)(=O)NCc2ccc(OC)c(OC)c2)c(C)c1,0.005434110760688782,-3.270754361578099,0.010910687036812305,-2.8822579580233785
CCOC(=O)[C@@]1(O)CC[C@H]2[C@H]3Cc4cc(NS(C)(=O)=O)ccc4C[C@H]3C[C@H]21.\O=C(O)/C=C(=O)O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C#CCCOC(=O)C1CCCN(CCc2nc(-c3ccc(C#C)cc3)no2)C1,0.006184584926813841,-3.519482771378681,0.014183996245265007,-4.045129286068287
C#CCN1CCC(/C=C/c2ccccc2)CC1,0.014914067462086678,-3.467841475074884,0.0024133746046572924,-3.878867441517122
Cc1cccc(N=C(O)c2cccc(OCc3ccc(Cl)cc3)c2)n1,0.003859493648633361,-3.9247059102823973,0.009302684105932713,-3.4167953874190142
N=c1nc(Cc2cccc(CO)c2)nc(N2CCCCC2)[nH]1,0.0042482465505599976,-3.9854328797939433,0.012414345517754555,-4.354459030873869
C#CCN=C(O)C1CCC2(C[C@@H]3CCCN(Cc4c[nH]c5ccc(OC)cc45)C3)CC2C1C,0.03440970927476883,-3.4894209470164217,0.022913822904229164,-3.4477210942711434
C[N+]([O-])([O-])c1ccccc1N=C(O)COc1ccc2c(c1)OCO2,0.0062606455758214,-4.0267494614389125,0.008292080834507942,-3.8259265970127325
C#CCN(C)[C@H](C)Cc1ccccc1,0.0026089437305927277,-3.6510648565759056,0.00861305557191372,-3.538434127751456
Cn1ccc(-c2ccc(Sc3nonc3N)cc2)n1,0.003438399638980627,-2.65768613847088,0.01345437578856945,-2.9859350435173218
CC(O)=NC(CCC(O)=N[C@@H](C)CCn1cccn1)C(O)=NC(c1ccccc1)c1ccccc1,0.005137940868735313,-3.714528000317721,0.005260467994958162,-3.9496122292929865
CSc1ccc(C(O)=N/N=C/c2cccs2)cc1,0.004765910562127829,-4.160431907895011,0.0056186243891716,-3.3431055309175544
CN1C(=O)CCC12CCC(N(Cc1ccc(Br)cc1O)C[C@@H]2N=C(O)COc1ccccc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)cc1,0.01398900430649519,-4.275197995378683,0.009433259256184101,-4.031723668534379
C#CCn1c(CN2CCOCC2)nc2cc(C(F)(F)F)ccc21,0.004491315223276615,-3.946524965929983,0.002227167598903179,-4.165243570810798
COc1ccc(C(=O)OCC(=O)[C@@]23CCC(C)(C)CC3)cc1OC,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCOC(=O)CC(N=C(O)COC(=O)c1cnn(-c2ccc(C(F)(F)F)cc2)c1C(C)c1ccccc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc(NC(=O)CSc2nn(C)c(=O)n2N)cc1C,0.005973465740680695,-4.097204147875184,0.009248637594282627,-1.3658533823848265
COc1cc2c(cc1OC)CN(C)CC2C(=O)OCc1cccc(Cl)c1,0.03351948782801628,-3.8706394693370525,0.046121712774038315,-3.1433841161606058
CCN(CC)CCN=c1sc2nc(/C=C/c3ccccc3OC)[nH]c(=NCc3ccc(O)cc3)c2[nH]1,0.022031467407941818,-3.4860133291807616,0.0033088477794080973,-4.225894952634121
COCCCN=C(O)c1ccc(-c2ccc(OCc3ccccc3)c(O)c2)cc1,0.007146114483475685,-3.1707172028063466,0.004275020677596331,-3.2631432812034356
COc1ccc(-c2csc(N/N=C/c3ccc4c(c3)OCO4)n2)cc1OC,0.010294998995959759,-3.9903788917906473,0.013646267354488373,-3.4295141401810394
CCN(CC)S(=O)(=O)Cc1ccc2c(c1)N(CCO)CCS2,0.0024836857337504625,-1.153214798673053,0.008259793743491173,-1.8865266686876607
CC(NC(=O)c1ccco1)c1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1,0.00406630290672183,-3.914216288557164,0.020917275920510292,-3.563184768503625
O=C(c1ccco1)N1CCN(c2cc(-c3c(F)cccc3F)nc3ccccc23)CC1,0.006448368541896343,-2.556308538632909,0.03945258632302284,-2.04733930320745
CC(C)(O)CCc1ccc(C(=O)N2CCC(c3n[nH]c4nc(-c5ccco5)ccc3-4)CC2)cc1,0.0051236143335700035,-2.9470460132860135,0.015685755759477615,-2.944551407427202
CCOC(=O)c1ccc(OCC(=O)N2CCN(c3ccc(NC(=O)COC)c(OCC)c3)CC2)cc1,0.004395096097141504,-4.392731549281548,0.022072164341807365,-3.534103642168357
COc1ccccc1N1CCN(C(=O)c2ccn(-c3ccc(C(F)(F)F)cc3)n2)CC1,0.007121071219444275,-3.413333066576252,0.03261824697256088,-2.498010416336211
C#C[C@@]1(O)CC[C@H]2[C@H]3CCc4c(O)ccc(OCCC(c5cccc(O)c5)OCO4)c4ccc(c564CCCO5)cc4C3C[C@H]21,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
c1ccc(-c2cc(NCCCN3CCOCC3)nc(-c3ccco3)n2)cc1,0.010668025352060795,-2.9112351722825363,0.006662064231932163,-3.413445830168456
CC(=O)OCC(=O)C1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.005008867476135492,0.7976543506736191,0.07258274406194687,-2.8070396158238013
O=C(/C=C/c1ccc2c(c1)OCCO2)OCCc1cn(CC2CCCO2)nc1-c1cccs1,0.005917733069509268,-3.607630744506458,0.012011215090751648,-3.396154785332155
O=C(c1ccc(Oc2ccc(C(=O)c3ccccc3)cc2)cc1)N1CCCC1,0.0035159930121153593,-4.19358612052015,0.007828534580767155,-2.718862259245827
CCC/C(=N/OC(=O)c1ncn(-c2ccccc2OC)n1)c1cc(S(C)(=O)=O)ccc1OC,0.004035014193505049,-3.773660268189629,0.007862856611609459,-4.036577665170877
C/C(=C/c1ccc2c(c1)OCO2)C(O)=NC1CCN(C(=O)c2ccccc2)CC1,0.004632472060620785,-4.415446539990161,0.00731936190277338,-3.6571491589316905
C#CCn1c2c3ccc(OC)cc3n(c(=O)c2c1=O)CCCC3,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1cccc(C(=O)N2CCC(NCc3ccc4[nH]ccc4c3)CC2)c1OC,0.04285646975040436,-4.029415759011321,0.007592611014842987,-3.1380927856174274
Cc1ccc(/C=N/NC(=O)c2cccc(OCCCC(=O)N3CCCC3)c2)s1,0.0044649215415120125,-3.6609345421925603,0.00859958864748478,-2.733148455418437
CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)N1CCC(O)(C(F)(F)F)CC1,0.003937750123441219,-2.224550378586091,0.006111480761319399,-2.4887889578740063
CN(C)CCCN=C(O)/C(=C/c1ccc2c(c1)OCO2)c1ccc(F)cc1,0.03064069338142872,-3.731319444278313,0.00616177823394537,-3.5309361114708793
C#Cc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,0.02298237569630146,-4.394353204665037,0.23561181128025055,-3.810452190609867
CC(C)c1nc(-c2oc(-c3ccccc3)nc2C#N)cs1,0.005166618153452873,-2.806914895151922,0.01619657129049301,-3.9873644020649186
CN(C)S(=O)(=O)c1ccc(CCNC(=O)c2ccc3c(c2)CC(=O)N3)cc1,0.021009346470236778,-2.6895024138664505,0.005777485202997923,-3.2777038605750617
COc1ccc2c(c1)CCCN2CCC(=O)N(C)CCC#N,0.00373350759036839,-2.983457313548917,0.018522271886467934,-3.7166104498076042
CN(C)c1ccc(NC(=O)c2ccc(-c3ccccc3Cl)cc2)cn1,0.0032356157898902893,-3.29252366356837,0.010179676115512848,-2.742205653387816
CC(Sc1n[nH]c(=N)n1CC(=O)N(C)Cc1ccc(Br)cc1)C(=O)Nc1nc(C(F)(F)F)cs1,0.007034830749034882,-3.784403181261191,0.0070537785068154335,-3.2029848487797645
C[C@@H](C#N)C#CCN(C)Cc1ccc(F)cc1,0.006611940450966358,-3.0890297513115867,0.0005185100017115474,-4.479535050478391
N#CC(Cc1ccccc1)N1CCN(c2ncccn2)CC1,0.023859748616814613,-4.035900719013121,0.07415629923343658,-3.9446343739982312
COc1ccc(C(=O)N2CCC(c3[nH]nc4c3CN(C(=O)c3nccn3C)CC2)cc1OC,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1cc(C)nc(N2CCN(CCCN=C(O)c3cccc4c3cccn4C)CC2)n1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
O=C(O)CCN1C(=O)C(=Cc2ccc(F)cc2)c2cc(Cl)cc(Cl)c21,0.0041676354594528675,-2.3488980373953368,0.013488673605024815,-2.1941272451995664
CCOC(=O)C1CCN(c2cc(C(C)(C)C)nc(-c3ccccc3)n2)CC1,0.008984974585473537,-2.7005094528586024,0.041704077273607254,-3.3567334760864047
COc1ccc2nc(Sc3nnc(-c4cnc[nH]4)o3)c(=O)n(C)c2c1,0.00479896180331707,-3.534833574653361,0.014609050936996937,-3.69692887913214
CCCc1ccc(-c2csc(N3CCN(Cc4ccccc4)CC3)n2)cc1,0.02227129600942135,-2.972324886571135,0.49060776829719543,-3.2668514509141033
Cc1ccc(N=c2sc3n(n2)CCCN(Cc2ccc(Cl)cc2)C3)cc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COC(=O)CN=C(O)C1(C)CCCN1C(=O)C1CC1,0.008210800588130951,-2.384209680293514,0.022136686369776726,-2.750643087886615
O=C(NC[C@H](O)COc1ccc2c(c1)OCO2)c1ccc(-c2ccc(O)cc2)c(F)c1,0.008260034956037998,-2.3902981110311052,0.013970482163131237,-3.336841265089738
Cc1cc(C)cc(-c2nc(-c3ccc4c(c3)OCO4)cc(=O)o2)c1,0.006564979907125235,-3.610184242506996,0.023348111659288406,-3.2769218852499833
COc1cccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)c1,0.005648752674460411,-3.814664481789418,0.00888250581920147,-4.156424485066758
COc1ccccc1-c1n[nH]c(N=C(O)CN2CCN(c3cccc(O)c3)CC2)n1,0.030126532539725304,-3.567031206293806,0.07246998697519302,-4.105799340726206
CC(C)(C)[C@H](O)COC(=O)c1ccccc1Cl,0.009434360079467297,-1.9034309973906902,0.01417628489434719,-3.3167020084612515
Cc1ccc(-c2nc(CN3CCc4ccccc4C3c3c[nH]c4ccccc34)co2)o1.[Na+],0.0016587069258093834,-3.4385393401369244,0.02659962698817253,-3.1919021856044303
CC1(c2ccccc2)OCCN(CCCn2cnc3ccccc32)CC1,0.1949593871831894,-2.9316604562970876,0.038487836718559265,-3.0876138670355675
CCN1CCC[C@@H]1Cc1ccccc1,0.08017747849225998,-2.8113894589380015,0.002841627225279808,-2.3411288165097908
