SMILES,AChE_Activity,AChE_pIC50,MAOB_Activity,MAOB_pIC50
CCCN(CC)CCN=c1c(O)nc(=N)n(-c2ccc(C)cc2)c1N,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cl.c1ccc([C@H]c2c3cccc(-c4nc[n+]5c6cc(N=C(O)[C@@H]6O[C@@H]6CN[C@@]6O[C@H][C@H]4C[C@H]([C@@H]6)C[C@]6)[nH]cc656)c3[n+]c([C@@]2OC(O)=C(O)O)C=O)O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(C)(C(O)=Nc1ccccc1)N(C(=O)CCN1C(=O)C=CC1CCCC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
O#CCCN(C[C@H](O)[C@@H]([C@H](O)C=C(Cl)Cl)c1ccc(Cl)cc1)C1CCCCN1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCCCSc1ccc(C(C)Cn2ccccc2=O)cc1,0.5053897500038147,inf,0.1100492998957634,-4.055185307183884
CCC(=O)OC1(C(=O)COC(=O)c2ccc(N3C(=O)OC(C)(C)C3=O)cc2)C[C@H]2C(OC(=O)CO12,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC[C@@H](C(O)=NN[C@H]1CCC[C@H]1c1ccccc1)N(C)C,0.4946760833263397,inf,1.9454209905234165e-06,-2.84961459944382
CC1CC1C(=O)C1(O)CCN1CC[C@]2(C)O[C@H]1CN(CCc1ccc2c3c(c1)CC[C@H](=O)N3CC2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1CCC(CO)C1,0.48488301038742065,inf,0.0012633583974093199,-4.669132983724546
CCC(=O)[C@]1(OC(=O)CC)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]21C,0.5285900235176086,inf,3.925955809336301e-07,-4.921643360029767
CO[C@]12CCC3=C(C2)C(CC2C3)[C@H]1C1(C#N)CCCC1=N5CCC66=CC(=O)C=C[C@@]4(C)[C@@H]32O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC(=NCCN1CCN(c2ccccc2F)CC1)C(Cl)(Cl)Cl,0.48859697580337524,inf,0.40116357803344727,-3.745609913682858
O=C(Cn1cc(CC(F)(F)F)c2ccccc21)N1CCCCC1,0.5056484341621399,inf,0.010214143432676792,-3.2274760905832207
Fc1ccc2c(c1)/C(CCN1CCN(c3ccccc3)CC1)O2,0.5148456692695618,inf,0.5147006511688232,-4.4384770272272185
CC(OC(=NS)(=O)c1ccccc1)C(=N)O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN=C(O)O[C@@H]1CCC(C)C(=O)[C@H]1N(C)C,0.4893787205219269,inf,0.0016156913479790092,-4.068300327757256
C[C@@H]1O[C@H]2[C@@H](O)C=C[C@]3(C)[C@H]4[C@H](O)CC[C@@]43C[C@]2(C)[C@H]1C,0.5470080375671387,inf,8.62529318801375e-12,-3.8893340171553867
CCOC(=O)C1CCN(CCc2ccc(Br)cc2)CC1,0.49587133526802063,inf,0.29510053992271423,-4.107022424366556
Cc1ccc2sc(O)c(C)c2c1,0.5066323280334473,inf,0.7096967697143555,-3.820411303816958
CN(c1ccc(C(O)=NC[C@@H](C(=N)O)C(=O)O)cc1[N+](C)(C)C)S(=O)(=O)c1ccccc1,0.4910786747932434,inf,0.0013678570976480842,-4.064647319809698
C[C@H]1[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@H]3CCC2(C)C1CCC2(O)C(=O)CO,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=CC4(C)C3(Cl)C[C@@H](O)CC12C,0.5292688608169556,inf,2.8412781460929182e-08,-4.188919425501913
CCC(C)C(=N)O,0.4767422676086426,inf,0.0066987210884690285,-4.168365170717478
CCC(=O)O[C@@H](Cc1c(O)nc(=N[C@]2(C#N)[C@@H]3CCCN3C[C@H]21O)c1ccc(Cl)cc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(C)[C@@H](C)CN(CCCCN)[C@@H]1CN=C(O)O[C@H]1O,0.4891594350337982,inf,5.41560723377188e-07,-3.063655583503478
COc1ccc2c(C)c(SCCC(O)=Nc3cc(OC)c(OC)cc3OC)c(=O)oc2c1,0.49734094738960266,inf,0.1894407719373703,-3.096640532463005
CCCC[C@H]1CN[C@H]2C[C@H]3C[C@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]21C,0.5391491055488586,inf,8.027429415635723e-12,-4.707873621448328
CCOP(=O)(OCC)Oc1ccc(C2CC[C@H](CC)C2)cc1,0.49201685190200806,inf,1.3511461247617262e-06,-3.09633313385352
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(O)C[C@@]2(C)C1(O)C(=O)CCl,0.5352352857589722,inf,8.965197935140168e-07,-4.415934625889445
CCN(C(=O)C(C#N)C(=O)C1CCC(c2ccc(C#N)cc2)CC1)c1ccc(C#N)cc1,0.49919912219047546,inf,0.010981742292642593,-3.8310317277033077
CC12CN3CC4CCC(CN4)C3C2C5CC5C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN1CCc2sc3nc(SCC(O)=NCC(=O)N4CCOCC4)[nH]c(=N)c3c2C1,0.5039224624633789,inf,0.5800132751464844,-4.197427918434054
CC(=O)C1CC=CC1,0.5039094686508179,inf,0.00011759233166230842,-5.072847047099061
Cc1ccc2c(c1)O[C@H]1[C@@H](O)C[C@H]([C@@]21)[C@@]14C[C@@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H]3C[C@@]12C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C=CCOC(=O)c1cn(CC)c2cc(Br)ccc2c1=O,0.49598464369773865,inf,0.23377613723278046,-4.090487997552317
CC(=O)OC1OC(OC(C)=O)C[C@H](O)[C@H]2OC3C[C@H](F)C4=CC(=O)C=CC4(C)[C@H]3[C@H]21,0.5184703469276428,inf,4.167813676758669e-05,-4.430254083793884
NC(O)=NCCCC1=CC(c2ccccc2)c2ccccc2N=C1O,0.5098837614059448,inf,0.0009846700122579932,-4.878275774935149
CC1CCN(C[C@@H]2[C@@H](O)C[C@@H]3c4cccc5c4O[C@@]3(C)[C@@H]2O[C@]2(C)C(=O)COC3)CC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCN(CCC(OC)CN(C)C)C(C)=O,0.4752134680747986,inf,0.0064390478655695915,-3.2958927213431
CC(=O)c1cc(/C=N/N(C(=N)O)C(C)(C)c2ccccc2)c(O)cc1O,0.4923606216907501,inf,0.03621498867869377,-4.50886138481083
CCC(=O)OCC(=O)C1(OC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)[C@H]4CC(=O)C=CF)[C@H]4[C@@H]3[C@@H](C)N(C)CC[C@]21C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COC(=O)C1(c2cc(Br)ccc2F)CCN(CCCOC)CC1,0.4975362718105316,inf,0.8380558490753174,-3.807246949176859
CCCCCCCCCCCCCCCS(=O)(=O)C1=CSC[C@@H]1OCCN(C)C,0.48298993706703186,inf,0.0005094278603792191,-3.9302686731463927
CC[C@@]1(CO)CC[C@H]2C3C[C@H]4CC[C@]5(C)[C@]4(Cl)[C@@]3(C)[C@@]21C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1ccc2c3c1O[C@H]1C[C@@H](O)[C@@H]4[C@@H](O)CCN4C[C@H](F)[C@H](O)C[C@@]341,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN(C)CCCCC#Cc1ccc2ccccc2c1,0.4964633882045746,inf,0.2112009972333908,-3.699696682577205
CCOP(=O)(OCC)Oc1cccc2c1Cc1c(C)cccc1C2=O,0.4994387924671173,inf,9.774445061339065e-06,-3.9706298206116903
CCC[N+]1(C)CC(=O)[C@H](C)N2CC[C@]3(C)(C)O[C@H]4[C@H](C)[C@H](C[C@@]3(O)COC(C)(OC)C)O4)[C@H]2CN1CCc1cc(O)ccc1)cc(O)c3cc(OC1)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
FC(F)CN(CCCN1CCN(c2cccnn2)CC1)Cc1ccc(Cl)cc1,0.49841129779815674,inf,0.018378302454948425,-4.54477388998421
OC(=NCCCC1=CCCCC1)N1CCN(c2ccc(O)cc2)CC1,0.49959370493888855,inf,0.07798346877098083,-4.5330236424587715
CCC[C@H](C)C(=O)OCC(=O)C1(O)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.5258662104606628,inf,5.602563533102511e-07,-4.589340929995872
COc1ccc2c3c1O[C@H]1C(OC)=C[C@@H]4[C@@H](C2)N(C)CCCC(C)C43C(=O)CC[C@@]21O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCc1ccc2nc(C)c(C(=O)OCC(O)=NCC3(C)COC3)cc2c1,0.5012595653533936,inf,0.03214234858751297,-2.5709852244814524
CCC(CC)C(CC)=NC1CC2CCC1C2,0.4882877767086029,inf,0.028595738112926483,-3.8608519657093403
CCC(C)=NC(=O)C1C=CCC1,0.5008441805839539,inf,0.00317127606831491,-4.262135672866174
OCC[C@H]1O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@@]3(C)[C@@]2(C(=O)CCl)O1,0.5397355556488037,inf,1.1764848643902592e-11,-4.544577125469729
OC(CN1CCN(c2cccc(Cl)c2)CC1)=NN=C(O)c1ccccc1,0.49900540709495544,inf,0.0006586264935322106,-3.953675074083246
c1ccc(CNC2=NNC[C@H]2c2ccccc2)cc1,0.5143383741378784,inf,0.032594721764326096,-4.216542500602362
CC(N)C(=O)OC1CCc2ccccc2[C@H]1O[C@@](O)(CCN(C)C)C(=O)C(=O)O,0.49202102422714233,inf,1.061149851011578e-05,-4.177453093896913
COc1cc(CN[C@H]2CCOC2=O)cc(OC)c1OC,0.49676570296287537,inf,0.23046396672725677,-4.496709440364587
Cc1cnc(=NC(=N)O)[nH]c1=O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN(C)CCCOC(=O)CSc1ccc2c(c1)N(CC(=N)O)C(=O)CS2,0.49403002858161926,inf,0.01068235281854868,-3.991428213683292
CC(C)c1ccc(O)c2c1C(C1(C)CCC(=O)C1)=NO2,0.5105113387107849,inf,0.4419396221637726,-4.6028694909332195
CCC(=O)O[C@@]1(C(=O)CF)[C@@H](CC)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,0.5308098793029785,inf,1.015673856130661e-08,-4.572597731866144
CCCn1c(O)nc2c1c(=O)n(CC)c(=O)n2C,0.4901456832885742,inf,0.8451211452484131,-4.2540218524678535
C[C@H]1C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.5361961722373962,inf,1.3749157368181386e-10,-4.514902357617408
Cc1cccn2cc(CCC(=O)N3CCN(C)CC3)nc12,0.5037167072296143,inf,0.4157579243183136,-4.559442035191398
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)CO)C(=O)O,0.529849648475647,inf,1.7183653389096776e-09,-4.598769290907295
COc1ccc2c(=O)oc3cc(OCc4nn(C(=O)c5cn(C)c5Cl)ccc3c2OC)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Fc1ccc2nc(N3CCN(C/C=C/c4cccs4)CC3)c3c2c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CN(Cc1ccc2c(c1)OCO2)C(=O)c1cc(N=C(O)C2CCN(c3ccc(Cl)cc3)CC2)ccn1,0.509964644908905,inf,0.019457975402474403,-4.026781136586554
CC(CO)C(C)O,0.47994208335876465,inf,0.0002570319047663361,-1.4694799522865174
CC(=O)OP(=O)(OC(C)=O)Oc1ccc(Cl)cc1[N+](=O)[O-],0.4747622311115265,inf,2.301709756125092e-08,-4.4405374596233615
Cc1cc(C)c(N=C(O)C2CC=CC2)c(C)c1,0.5010538101196289,inf,0.00022808201902080327,-4.603340124861173
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(O)C=C[C@@]3(O)[C@H]1C5,0.5322022438049316,inf,0.003033412154763937,-4.326233857530102
CN1[C@H]2C=C[C@H]1C[C@H]1[C@H]2CC[C@]2(O)[C@H]1OC(=O)CN1C(=O)OC(Cl)(Cl)Cl,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C=CC[C@@H]1[C@@H](c2ccccc2)[C@H]2C3C=C(OCc4ccc(C)cc4)C(=O)CS3(=O)[C@H]21,0.5276696085929871,inf,0.00030566874193027616,-4.984162691200575
CO[C@@]12CCC(=O)[C@@H]1CC[C@H]1[C@H]3C[C@H](O)CC[C@]3(C)[C@H](O)[C@@H](C2)C13,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1cccc(C(=O)[O-])c1,0.4877850413322449,inf,0.3734164535999298,-3.4551574335998185
CN(CCCN1CCOCC1)C(=O)c1ccccc1Cl,0.49510443210601807,inf,0.007784074638038874,-5.1267520294594515
CC[C@H]1O[C@H]2CC[C@]3(CCCC[C@H]4C[C@](CCC5(O)CCC5)O[C@@H](C4)C3)[C@@]2(OC)[C@@H](O)C[C@]1(C)[C@H](O)C,0.5142099857330322,inf,1.7240167626830782e-11,-3.5960095429427517
CCC(=O)N1c2ccccc2CC2C2COC(C)(C)C21,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)C(C)C(=O)O,0.48093903064727783,inf,0.00031052198028191924,-4.16771084090199
CC12CCC(=O)CC1C(O)=NCCN1C(=O)c1ccccc1Cl,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCOC(=O)c1cc(N)cn1Cc1c(C)nc2cc(C)ccn12,0.49839168787002563,inf,0.09854274243116379,-4.500519353514435
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@H](O)C[C@@]21C,0.5290618538856506,inf,1.0618300194664698e-07,-4.531114071024956
CN(C)CCOc1ccc(Cl)cc1N=C(O)O,0.4831659197807312,inf,9.982257324736565e-06,-4.141636888168355
CC(C)CC(CCc1cc(F)cc(C(C)(C)C)c1)C(=O)CN[C@H]1CCC(CN(C(C)C)C[C@H]1N=C(Cl)C(Cl)CCCN=N)C1O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(C)COCCNS(=O)(=O)c1cc(Cl)cc2cccnc12,0.5019998550415039,inf,0.005927777849137783,-4.586617346461051
C[C@H](C[C@H]1CCN(C)CCC[C@H](C(=O)O)C(=O)O1)c1c(O)nc(=N)[nH]c1=O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(/N=C1O)c2ccccc2n2c3c(cc(=O)n(C)c13)COC(CC(C)C)(C)C3,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)N1CCc2cc(S(=O)(=O)NC3(C#N)CCCC3)ccc21,0.5018044710159302,inf,0.014211459085345268,-4.834508289855933
OCCOc1cccc(CCNCC2Oc3ccccc3N2C2CCCC2)c1,0.5118003487586975,inf,0.16511794924736023,-3.7046353983796614
OC(=NC1=NCCN1)c1cc2c(Cc3ccccc3)cccc2oc1=O,0.5086563229560852,inf,0.009224919602274895,-3.642134485804958
CC(C)C(=O)O[C@@]1(C(C)C)[C@H](O)C[C@H]2[C@H]3C[C@H]4CC(F)C5=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@]21C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C=CCN[C@@]1(O)[C@H](C)[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)C=CC4(C)[C@H]3[C@]21C,0.5468173623085022,inf,1.023487605777973e-08,-4.8497302998089475
N=C(S)O[C@H]1Cc2cccc3c2[C@@]2(OC(=O)c3ccccc3)O[C@@H]1Oc2ccc(Cl)cc2[C@@]1F,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
