SMILES,AChE_Activity,AChE_pIC50
CCOc1cc(CNCCc2cccc(F)c2)ccc1OC.Cl,0.022397134453058243,inf
OCCc1cc(O)nc(O)n1,0.012094447389245033,inf
O=[N+]([O-])c1c(Br)cc(F)c(N2CCN(CC(O)=NCCCN3CCOCC3)CC2)c1Cl,0.06313598155975342,inf
O=C(O)CCCS(=O)(=O)N1CCCC1,0.017753394320607185,inf
N#Cc1ccc(OCCN2CCC(CO)(CCCN3CCC(F)(F)C3)CC2)cc1,0.028727149590849876,inf
C[C@@H]1OC23CC(F)(F)C4=CC(=O)C=CC4(C)C(O)CC3(C)C(O)CC2(C)C1C(=O)CO,0.001330815488472581,inf
C[C@@H]1C[C@H]2[C@@H]3Cc4ccc(O)cc4[C@@H](c4ccccc4)N3C(=O)[C@@]2(C)C1=O,0.01747220754623413,inf
CSC(=O)(CCC(O)=NC(C)C)SC(=S)N(CC(C)(C)C)Cc1ccccc1,Invalid SMILES,Invalid SMILES
CC12C=CC(=O)C=C1CC(NCCCn1ccc3cc(Cl)ccc31)C2C#N,0.025980660691857338,inf
CN(C)C=O.Cc1ccc(OC)c(OC)c1.O=[N+]([O-])O,0.01992645114660263,inf
CN1C(=O)CN=C(c2ccccc2)C12CCCC(C)(C(=O)C1CO)C2(C)C,Invalid SMILES,Invalid SMILES
CCOP(=S)(NOCC)Oc1cc(C)c(C)cc1C,0.38415050506591797,inf
COc1ccccc1N1CCN(CCCN=c2ccc(F)c(F)c2)CC1,Invalid SMILES,Invalid SMILES
CN1CCN2c3ccccc3CCc3ccccc3C2C1.O=C(O)C(=O)O,0.03429827466607094,inf
Cc1ccccc1-c1sc2ncnc(NCCCN3CCOCC3)c2c1C,0.06927870959043503,inf
COc1ccc([C@@H]2[C@H](C(=O)O)[C@H](O)[C@@H]2O)cc1,0.006466852966696024,inf
COc1cccc(-c2cnc3c(C#N)cnn3c2CO)c1,0.028000550344586372,inf
COc1cc(OC)c(-c2cc(/C=C(\O)CCCNS(=O)(=O)c3ccc([N+](=O)[O-])c3)n([N+](=O)[O-])n2)cc1Cl,Invalid SMILES,Invalid SMILES
CC(C(O)(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N(C)S(C)(=O)=O)cc1,0.005897959228605032,inf
O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCC(N2CCN(c3ccccc3F)CC2)CC1,0.023349758237600327,inf
CN(C)CCC[C@]1(c2ccccc2)CCc2ccccc2C1.O=C(O)C(=O)O,0.030736414715647697,inf
Cc1noc2nc(C)c(C#N)c(O)c12,0.03957676887512207,inf
O=C(CSc1n[nH]c(=NCc2ccco2)s1)OCC(=O)c1ccccc1,0.011221861466765404,inf
Cc1nn(C)c2c1N(C=O)CC(c1ccccc1)S2,0.02324671484529972,inf
CCOc1ccc(CCN=C(O)c2cc(C(F)(F)F)nc3ccccc23)cc1OCC,0.019779611378908157,inf
C[C@@H](CCc1ccc(O)cc1)N.O=C(O)C(=O)O,0.011788636445999146,inf
CC1(C)CC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)=CC3(C)C2(C(=O)CO)C1C(=O)CO,0.001941366819664836,inf
COc1ccc(C(O)CN(C)C(=O)CCCC(O)=NCc2ccc3c(c2)OCO3)cc1,0.01840158738195896,inf
CN(C)CCCCCC(c1ccc2c(c1)OCO2)c1cnc(O)nc1O,0.03420291095972061,inf
C=CCCSP(=O)(OCC)Oc1ccc(C(C)C)cc1,0.29455068707466125,inf
C#C[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@@]4(C)[C@H]3[C@@H](O)C[C@]21C,0.0008598054409958422,inf
N=C(N)S/N=C(\C(=O)O)c1cccc([N+](=O)[O-])c1,0.04731765389442444,inf
CCN(CC)CCN(CC(O)(c1ccccc1)c1ccccc1)c1ccccc1.Cl,0.013525288552045822,inf
CCCCC[C@@H]1C(=O)N(CCCN(C)C)C(=O)[C@]2(C)c3c(O)cccc3C[C@H](C)N12.O=C(O)C(F)(F)F,0.02271774224936962,inf
COc1ccc(S(=O)(=O)NCCCN2CCC(Cc3ccccc3)CC2)cc1.Cl,0.024172361940145493,inf
CCCCCCCCCCCCC.Cl,0.008450084365904331,inf
OC(=NC(S)=NCc1ccccn1)Cc1cccs1,0.010825452394783497,inf
CN1CC=C2c3cccc4[nH]cc(c34)C2CC1.Cl,0.0957169458270073,inf
CCCC[n+]1ccccc1C.[Cl-],0.23329004645347595,inf
COc1ccc(NS(=O)(=O)c2c(C)nc3scc(C)n3c2=O)cc1,0.01682691089808941,inf
CC1CC(C)CN(CCC(=O)Nc2ccccc2)C1.O=C(O)C(=O)O,0.01658325269818306,inf
COc1cccc(-c2cc3c(N)cccc3nc2O)c1,0.02507299743592739,inf
Cl.O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1N=C(O)NCCn1cc(Cl)cn1,0.04705093055963516,inf
CCN(CC)C(=O)[C@H]1CCN(C(=O)N2CCCN(Cc3c(F)cccc3F)CC2)[C@H](C)CO1,0.0202516820281744,inf
Cc1ccc(OCCCCN=C(O)CNC(=O)C(C)(C)C)c(C)c1,0.012291132472455502,inf
CSCC(N=C(O)c1ccccc1)C(=O)N(C)CC(=O)N(CC(C)C)C(C(C)C)C(C)C,0.006207349244505167,inf
C[C@@H](Cc1ccccc1)N(N)C(=N)c1ccc(=O)oc1.Cl,0.014016497880220413,inf
COP(=O)(OC)Oc1ccc(C)cc1Cl,0.3743709623813629,inf
COCCN1CCOCC2(C1)c1ccccc1NC2CC1CCCC1,0.02518235146999359,inf
CCCCCCCCCC1(CC)OC(=O)C(CC)O1,0.0037497770972549915,inf
COc1ccc2cc(CNCCC(C)c3ccc(O)c(C(=O)OC(C)C)c3)ccc2c1.O=C(O)C(F)(F)F,0.020051442086696625,inf
CC(O)=Nc1ccc(O)c(C(=O)O)c1,0.010173801332712173,inf
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1.CS(=O)(=O)O,0.045424818992614746,inf
CN(CCCN1C(=O)N2CCC(c3ccccc3)CC2CC1=O)c1ccc(F)cc1,0.029625123366713524,inf
CCC(=O)O[C@]1(C(=O)SC)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,0.003974766470491886,inf
CC(NS(=O)(=O)CCC(O)=NC(C)(C)C)C(=O)O1CCCCCC1,Invalid SMILES,Invalid SMILES
CCn1cc(C[C@H](O)[C@@H](CNC(C)C)C(O)=NCC)nn1,0.01143560279160738,inf
CCC(O)=NC(c1ccccc1)c1ccccn1,0.005161375738680363,inf
COc1cc2c(cc1F)[C@@H]1C(C)=CC(C2)N1Cc1ccc(C(=C)CCC(C)(C)O)cc1,0.028629479929804802,inf
CCCN(c1ccc(C)cc1)S(=O)(=O)c1c(C)nc2sccn2c1=O,0.02256409451365471,inf
CCOC(=O)C1=C(c2ccccc2F)N=C(O)NC1c1ccc(O)c(OC)c1,0.01346149854362011,inf
Cn1cc(C(=O)N2CCN(Cc3ccccc3)CC2)c(C(F)(F)F)n1,0.023873068392276764,inf
Cl.O=C(CN1CCCC1)N1c2ccccc2Nc2cc(F)ccc2Sc2ccccc21,0.04060114175081253,inf
Cc1cc(C)c(Cl)c(OCc2nc(C)c(CCC(=O)N3CCN(c4ccc(F)cc4)CC3)s2)c1,0.0322561040520668,inf
O=C1CCN(C/C=C/c2ccccc2)CC1,0.030934149399399757,inf
CN(C)c1ccc([N+](=O)[O-])cc1NCC1CCCCN1,0.08853910118341446,inf
CN(C)CCC(c1cc(N)c(O)cc1Br)CC1COc2ccccc2O1,0.028011713176965714,inf
C=CC[N+]([O-])(CC=C)CCCCCC.[Cl-],0.03923104330897331,inf
CCc1ccc2c(c1)S(=O)(=O)CC2NC(O)=Nc1nccnc1C(F)(F)F,0.010579783469438553,inf
c1ccc(CN2CCN(c3ncccn3)CC2)cc1,0.031149975955486298,inf
CN[C@H]1CCN(C[C@H](O)[C@@](c2ccccc2)c2ccc(F)cc2)CC1.Cl,0.02011718973517418,inf
CCCCN(Cc1ccsc1)C1CCN(Cc2ccc(O)cc2)CC1,0.04359570890665054,inf
C=C2CCCN2Cc1ccc(O)cc1.O=C(O)C(=O)O,0.017510082572698593,inf
CCC1(CNC(=O)CCc2c(C)[nH]c3ccc(Cl)cc23)CCCCC1.O=C(O)C(O)C(=O)O,0.03031095676124096,inf
C=C[C@]1(C)[C@H]2CCC1(C)C(=O)C2.Cl,0.004289024509489536,inf
O=C(CCC(O)=Nc1cccc(Cl)c1)NC(=O)Cc1ccc(Br)cc1,0.010158509016036987,inf
N=c1nc(CN2CCN(c3ccccc3F)CC2)[nH]c2ccccc12,0.04681019112467766,inf
O=[N+]([O-])c1c(Cl)cc(Cl)c(Cl)c1Cl,0.03880022093653679,inf
Cl.OC(COCC1COc2ccccc2O1)CN1CCN(c2cccc(Cl)c2)CC1,0.02870863489806652,inf
CCOC(=O)O[C@H]1CC[C@@H]2C=CC3(CC[C@@](c4ccccc4)(c4cccc5[nH]ccc45)O3)C2)[C@]1(CC)C.O=C(O)S(=O)(=O)(=O)(=O)(O)(O)(O)CCCC,Invalid SMILES,Invalid SMILES
Clc1ccc(OCCN2CCCC2)c(Br)c1.O=C(O)C(=O)O,0.025966960936784744,inf
O=C1C[C@@H](CCSCCCCCCN2CC(O)(c3ccccc3)CCC2=O)c2sc(-c3ccccc3)cc2N1,0.036596886813640594,inf
CCn1ccc(=O)c(O)c1C.Cl,0.02190791815519333,inf
O=C(O)/C=C/c1ccc2c(c1)CCC2.O=C(O)c1ccccc1N2CCCCCCC1,Invalid SMILES,Invalid SMILES
CCCCn1c[n+](C)c(-c2ccc(N(CC)C(C(C)C)cc2)c1C.[Br-],Invalid SMILES,Invalid SMILES
CCOP(=S)(OCC)OC(O)=Nc1nc(-c2ccccc2)oc1CC,0.3783426880836487,inf
O=C(c1cccc(F)c1)N1CCN(C2CCCN(c3ncnc4sc5nc(c5nnnn555)N-c3ccccc3)C2)CC1,Invalid SMILES,Invalid SMILES
CC(=O)O[C@](C)(C)/C=C/C1=C(C)CP(C)(C)c2ccccc2S1(=O)=O,0.017781056463718414,inf
CCNCCn1c(-c2ccccc2N=C(O)/C=C/c2ccco2)nc2cc(Cl)ccc21,0.031179994344711304,inf
COc1ccc2c3c1O,Invalid SMILES,Invalid SMILES
N#Cc1cccc(COC(=O)c2ccc(-n3cncn3)o2)c1,0.011038347147405148,inf
Cc1ccc2c(c1)N=C(O)c1ccccc1S2,0.01662595197558403,inf
CC(=O)OCC(=O)c1cc2c(OCc3ccccc3)cc(OC(C)=O)c3cc(N4CCC(C)CC4)cc3c2o1,0.03583484888076782,inf
O=C(CCCN1C(=O)CSc2ccccc21)N1CCN(c2cccc(Cl)c2)CC1,0.045332103967666626,inf
CN1CC[C@@]23c4c5cccc(O)c4O[C@H]2[C@](O)(C=O)[C@H]3[C@H]1C5,Invalid SMILES,Invalid SMILES
Nc1cncc(-c2ccc(C(F)(F)F)cc2)c1,0.0068921963684260845,inf
CCOC(=O)c1oc2cc(CO)ccc2c1NC(=O)c1c(C)noc1C,0.02712560072541237,inf
C[N+](C)([O-])C(O)=Nc1cc(Cl)ccn1,0.0399203896522522,inf
CC(C)(O)CN1CCN2c3ccccc3C=Cc3[o+]cccc3[C@@H]2C[C@H](O)[C@H]12.Cl,Invalid SMILES,Invalid SMILES
CN1CCN(C2=Nc3cc(N)ccc3N(C)C2=O)CC1.Cl,0.1080830916762352,inf
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@@H]4[C@@H](C2)N(C)CC[C@]341,0.033876076340675354,inf
N=C(O)Oc1ccc2ccccc2c1,0.024589253589510918,inf
COc1ccc(-n2cc(CN[C@H]3CC(=O)N(c4ccc(Cl)cc4)CC(O)=N3)cn2)cc1,0.02099403366446495,inf
CCCCC[C@H](Cc1ccccc1)CCCO,0.01576974429190159,inf
COc1ccc2nc(N3CCCCC3)cc(C(=O)O)c2c1,0.04951619356870651,inf
CCOP(=S)(OCC)OCC,0.3853771984577179,inf
Cn1c(=O)cc(OCCCCCCCCc2ccccc2)c2ccccc21.Cl,0.03664558008313179,inf
C=CCC1(C(C)CCCC)C(O)=NC(=N)O,Invalid SMILES,Invalid SMILES
CCCCOP(=O)(OCC)O.O=C(O)C(O)C(O)C(O)=NC,0.014875187538564205,inf
CC(=O)Oc1cccc(C(O)=NC(C)C(=O)N2CCOCC2)c1,0.02091425284743309,inf
CC1CCN(CC(O)CN=C(O)c2cc(Cl)c(N)c(Cl)c2)CC1.Cl,0.028744196519255638,inf
Cc1nn(CCN2CCCN(C(=O)c3cnc(C4CC4)[nH]c3=O)C2)c(=O)c2ccccc12,0.059351593255996704,inf
N=c1[nH]c(OCCCOc2ccc3ccccc3c2)nc2cc(C(F)(F)F)ccc12,0.016704343259334564,inf
O=S(=O)(c1ccc(N2CCN(CC=Cc3ccccc3)CC2)nc1)N1CCN(C(c2cccs2)CC1,Invalid SMILES,Invalid SMILES
CCCCCCN1CCc2[nH]c(=N)[nH]c2CC1.Cl,0.1065947636961937,inf
Cc1ccccc1-n1c(SCC(=O)N=[N+]([O-])S)nnc1-c1ccccc1C,0.03738551214337349,inf
CCCCCCn1c(S)nc2cc(C(O)=NCc3ccc(CC)cc3)ccc2c1=O,0.03125307708978653,inf
CCC[n+]1ccccc1.F[P-](F)(F)(F)(F)(F)F,Invalid SMILES,Invalid SMILES
CC(C)CCC/C(O)=NC(=O)c1ccnc([N+](=O)[O-])c1.N=C(O)C(=O)N(C)C,0.02483818307518959,inf
O=C(O)C[C@@H](O)C(O)=NCc1ccc(Cl)cc1Cl,0.009068829007446766,inf
C=CCOc1ccc(CN2CCN(c3ncccn3)CC2)cc1,0.033795133233070374,inf
O=c1c2ccccc2nc2c(N3CCN(c4cccc(Cl)c4Cl)CC3)c(CC(O)=Nc3ccccc3)nnn21,0.03322947397828102,inf
CCCN=C(O)CNc1cccc(C)c1[N+](=O)[O-],0.04374255985021591,inf
CCCCC(O)=NC(CC)C(=N)O,0.0030781561508774757,inf
COc1ccc(Cl)c2sc3nc4c(cc3c12)[C@@H]1CCCN4C(=O)CC[C@@]21,Invalid SMILES,Invalid SMILES
COc1ccc2cc(NC(=O)c3ccc(N=C(C)O)cc3)ccc2c1,0.01958993822336197,inf
COCCCN=c1cc(-c2ccccc2)nc2ccccc12.Cl,Invalid SMILES,Invalid SMILES
CCOP(=O)(OCC)SCc1ccccc1F,0.41718950867652893,inf
O=[N+]([O-])c1ccc([C@@H](O)CN2CCCCC2)cc1,0.04970061033964157,inf
CCN(CC)CCO.C(O)c1ccc(OC)c(OCC(O)=NCCCN2CCCCC2)c1.Cl,0.020534802228212357,inf
Cl.O=C(C[n+]1cc2ccccc2c2ccccc12)N=NC(O)=N[C@H]1CBr,Invalid SMILES,Invalid SMILES
OCCN1CCN(c2cnccn2)CC1,0.062400322407484055,inf
N=C(O)N(c1ccc(Cl)cc1)C1CC1,0.019996386021375656,inf
C#CCOP(=O)(OCC)Oc1ccc(C)cc1Cl,0.2952512502670288,inf
COc1cc2c(cc1OC)C(C1CCCC1)NCC2,0.041777126491069794,inf
CC(=O)c1ccc(NC(=N)N2CCCC2)cc1,0.03611929342150688,inf
CCCCCCNc1ccc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],0.0627819374203682,inf
Fc1ccc([C@H]2[C@@H]3CC(C2)N(CCCCCCN2CCN(c4cccc(Cl)c4)CC2)C3=O)cc1,0.05185085907578468,inf
CCCn1c(=O)c2c(nc(OCCO)c2C)n(CCC)c1=O,Invalid SMILES,Invalid SMILES
O=C(O)C(=O)O.O=C(O)/C=C/c1cccc(C(F)(F)F)c1,0.005280675366520882,inf
COCCn1c(=O)c2c(nc3n2CCCN3c2ccncc2F)n(C)c1=O,0.06193050742149353,inf
Cc1ccc(C)c(N2C(=O)[C@H](CCc3c(C)n(-c4cccc5ccccc45)c4cc(-c5ccccc5)ccc4n3)N(C)C2=O)c1,Invalid SMILES,Invalid SMILES
CCOC(=O)CS(=O)(=O)N(C)CCC,0.011637297458946705,inf
CC(C)(C)c1cc(C2C(O)=NC(CCCN=C(O)c3ccc(Cl)cc3)=C(O)O2)on1,0.013071911409497261,inf
C#CCOc1ccc(C2=CC(c3cnc(Cc4ccc(Br)cc4)o3)=C(N(CC(C)=O)CC)CO2)cc1,0.0169756468385458,inf
Cc1cc(C(O)=NC2CC3CCCC(CC3)C2C)c(C)c(C)c1,0.016627293080091476,inf
CCCCc1cc(=O)[nH]c(SCC(=N)O)n1,0.02944139763712883,inf
COCCCNCCCCCc1ccccc1.O=C(O)C(=O)O,0.016433056443929672,inf
Clc1ccc2c(c1)C1C=CC=CC1CN2,0.01608971133828163,inf
C=CCc1ccccc1OC[C@H](CO)N=C(O)c1ccccc1,0.008996454067528248,inf
CC(O)=Nc1ccccc1OCC(=O)OC1(c2ccccc2)CCCCC1,0.01841196045279503,inf
CCOP(=S)(OCSC)Oc1ccc(Br)cc1,0.5260241627693176,inf
CC(=O)N1CCN(CCCN2CCN(c3ccc(O)cc3)CC2)CC1.Cl,0.0664883479475975,inf
COc1ccc(I)c([N+](=O)[O-])c1[N+](=O)[O-],0.06789744645357132,inf
COCCS(=O)(=O)N1[C@H](C(C)C)CN(CCn2c(C)cc(-c3ccccc3)cc2=O)C[C@@H]1C.O=C(O)/C=C/C(=O)O,0.034911055117845535,inf
Nc1[nH]nc(C23CC4CC(CC(C4)C2)C3)c1[N+](=O)[O-],0.07606447488069534,inf
CCC1(CC)C=CC2C(O)CC[C@H]3C2C1OC.O=C(O)C(=O)O,Invalid SMILES,Invalid SMILES
CCN=C(O)Oc1ccc2c(c1)[C@@]13CCC(C)(C1)C(C2)N3C(=O)COc2ccccc21,Invalid SMILES,Invalid SMILES
CCn1c(=O)c2c(nc(OC)n2CCCCCC(=O)O)n(C)c1=O,0.06290514022111893,inf
CCOP(=S)(OCC)Oc1ccc(C)cc1[N+](=O)[O-],0.5200642943382263,inf
COc1ccc(OCC(O)CN2CCN(c3ccccn3)CC2)cc1.Cl,0.029030628502368927,inf
Cc1cc(C)c(C(=O)NCC(O)=N/N=C/c2ccc([N+](=O)[O-])cc2)c([N+](=O)[O-])c1C,0.04737809672951698,inf
CC1CCC(N=C(S)N(Cc2ccccc2)C2CC2)CC1,0.019079124554991722,inf
N#C/C(=C\C=N/Nc1cccc(F)c1)C(N)=O,0.01688149943947792,inf
COc1ccc(F)cc1/C=C1\N=C(O)CN1CC(C)c2ccccc21,Invalid SMILES,Invalid SMILES
CFC(F)(F)F.Fc1ccc(-c2cccn2CCN2CC(C2CNC3CCCCC3)CC2)cc1,Invalid SMILES,Invalid SMILES
Cl.[N-]CCCC1=CCCCC1,0.008172284811735153,inf
CCN(CC)CCc1cc(OC)c(OC)cc1SC.Cl,0.06343206018209457,inf
CCN(CC)Cc1ccc(N=C(O)CCc2c(C)nc3c(N)cccn3c2SC)c([N+](=O)[O-])c1,Invalid SMILES,Invalid SMILES
CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],0.17963232100009918,inf
CCOP(=S)(OCC)Oc1cccc(OC)c1,0.517111599445343,inf
CC(=O)OCC1OC(C)=O)CCC(C)C1CC2CCC3C4C=CC(=O)C=CC4(C)C3(F)C(O)CC12C,Invalid SMILES,Invalid SMILES
CCOP(=S)(OCC)SCC(O)=NCc1ccc(Cl)cc1,0.3552563190460205,inf
CCO[C@H]1CCN(S(=O)(=O)c2c(-c3ccccc3)noc2C)CC1,0.029946614056825638,inf
Cl.OC(COc1ccc(Cl)cc1)CN1CCN(c2ccccc2)CC1,0.025668594986200333,inf
CCCC(C)CC/CCC[C@H]1C[C@H]2Cc3ccc(O)cc3CCN2C(=O)O1.Cl,0.016993822529911995,inf
COc1ccc(CN(C)CCc2nc(-c3ccc(N(C)S(C)(=O)=O)cc3)cs2)c(OC)c1,0.039855342358350754,inf
Cc1ccc(/C=C2\S(=O)(=O)N(CCCC(=O)N3CCN(CCOc4cccc(Cl)c4)CC3)C(=O)N2c2ccc(O)cc2)c1,Invalid SMILES,Invalid SMILES
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@@H]1C5,0.05549159273505211,inf
CCCC[n+]1ccccc1C.F[P-](F)(F)(F)(F)F,0.30072808265686035,inf
COC(=O)c1cc(=NC(O)=NC2CCN(c3ccc(C)c(C)c3)CC2)[nH]o1,0.036202531307935715,inf
FC(F)(F)c1cccnc1Sc1nnc(Cc2ccc(-c3ccc(Cl)cc3)cc2)o1,0.007986132055521011,inf
Fc1ccc(C(CCCN2CCN(c3ncccn3)CC2)c2ccc(Cl)cc2)cc1,0.02321084402501583,inf
CCCCN=C(O)OC1=C2C(=NCCCC2)N(c2ccc(F)cc2)[C@@H]2C[C@H]1c1ccc(O)cc1,Invalid SMILES,Invalid SMILES
O=C(S)N1CCC(C(O)=Nc2ccc(OCCCCCN3CCCC(Cn4cnc5c(c6ccccc56)CCC4)C3)cc2)C1,0.05855676531791687,inf
CN1CCN(n2c(=O)cc(CN3CCCC[C@H]3c3ccc4c(c3)OCO4)c3cc(Cl)ccc32)CC1,0.08736372739076614,inf
CNCCCCCN1c2ccccc2CCc2ccccc21.Cl,0.05720556899905205,inf
CN(CCOc1ccccc1)CCOC(=O)c1cc2cc(Br)ccc2o1,0.02243526466190815,inf
CCOP(=S)(OCC)SCS(=S)C(C)C.O=C(O)C(=O)O,0.18258985877037048,inf
CCCC(C#N)(CCCO)N1CCN(CCN(C)C)CC1,0.004631601739674807,inf
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@@]1(O)C(=O)CCl,0.00254258350469172,inf
CC(=O)c1cccc(N=C(O)CN2CCCC3(C2)OCCO3)c1,0.024196719750761986,inf
C[C@@H](CN(C)C)CN1c2ccccc2Sc2[nH]ccc21.Cl,0.0517001673579216,inf
CC(C)C(C#N)(CCNCc1c[nH]c2ccccc12)N1CCCCC1,0.04248552396893501,inf
CC(C)[n+]1ccccc1.Cl,0.041559476405382156,inf
CCN(CC)c1ccc([N+](=O)[O-])c(N=C(O)CN2CCOCC2)c1,0.07622525095939636,inf
N[N-]c1ncccc1C(O)=NCC1CC2CCCC(C1)C2O,0.017823219299316406,inf
COc1ccc2c(c1)-c1ccccc1C2(O)C1CCNCC1,0.03055673837661743,inf
OC(CSc1ccc(Cl)cc1)=Nc1ccccc1-c1ccccc1,0.010408367961645126,inf
CCCCCn1nnc([N+](=O)[O-])c1CC(O)=NC1CCN(CC)CC1,0.05828896164894104,inf
CCN(CC)CC(O)=N[C@@H]1C(C)=O,Invalid SMILES,Invalid SMILES
CN1[C@H]2CCC[C@@H]1CC(OC(=O)C(CCc1ccccc1F)c1ccc(F)cc1)C2,0.017275629565119743,inf
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=C/CC[C@@]4(C)[C@H]3[C@@H](OCCC)[C@H]21CCCCCCC2,Invalid SMILES,Invalid SMILES
O=C1C=C(O)C(=O)C(c2ccccc2)CC1,0.009624912403523922,inf
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@H]3C(=O)C4=Cc5c(cnn6cnnc56ccccc567C[o+]n(C)cc15)[C@@H]3C[C@H](O)C2,Invalid SMILES,Invalid SMILES
CC(C)(C)NS(=O)(=O)c1ccc(C(=O)NCC#CCN2CCCC2)cc1,0.010850664228200912,inf
CN(C)Cc1cc(C(C)(O)c2cccc(Cl)c2)nc(C(C)(C)C)n1,0.012531465850770473,inf
COc1ccc(CN=C(O)CN(C)C(=O)c2cc3cccc(OC)c3o2)cc1.Cl,0.021624894812703133,inf
CCCc1cc(C(=O)O)[nH]n1,0.01565617322921753,inf
CC(C)n1c(C(=O)O)cc(C(=O)O)c2ccccc21,Invalid SMILES,Invalid SMILES
CC(C)=CCN1CCN(S(=O)(=O)c2cc(C(=O)O)c3ccccc3n2)CC1,0.036601223051548004,inf
O=C(C1CCCCC1)N1CCc2onc(Cc3cccc(S(=O)(=O)N4CCCCCC4)c3)c2[C@H]1CN1CCCCC1,0.04945778846740723,inf
2SP(=[N+]([O-])c1cccc(O)c1,Invalid SMILES,Invalid SMILES
C=CCn1c(=O)[nH]c(=NCC)s1.Cl,0.05302708223462105,inf
CCc1ncc2c(n1)C1CN(Cc3nccn3Cc3cccnc3)CC1C(C)=N2,0.03416772559285164,inf
COCCCN=c1nc(O)c(C=O)[nH]n1,Invalid SMILES,Invalid SMILES
CCN(CC)CCCN=C(O)c1cc([N+](=O)[O-])c(N2CCCCC2)cc1N.O=C(O)C(=O)O,0.06717593222856522,inf
N=c1[nH][nH]nc1SCC(=O)N1CCOCC1,0.034352757036685944,inf
Fc1cccc(Cl)c1NC1=NCCN1,0.027649488300085068,inf
