SMILES,D2R_Activity,D2R_pIC50,D3R_Activity,D3R_pIC50
COc1cccc(OCCc2nc(-c3ccc(CNc4ccccn4)cs3)cs2)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC(=O)c1ccc(C(C)(C)C)cc1I.O=C([O-])C(=O)O.O,2.8447008637577653e-11,-2.6872374455400325,0.009745377115905285,-3.445684547976539
COC(=O)c1ccc(/C=N/Nc2nc3c(s2)CN(C)C[C@H]3c2ccc(Cl)cc2)cc1,0.03775336593389511,-4.109547577948926,0.0027302680537104607,-3.22890351478313
Cn1ncc2c(=O)n(CC(=O)NCc3ccccc3Cn3cccn3)cnc21,0.0037656875792890787,-3.8520676013648067,0.00038768674130551517,-4.207069143071454
O=[N+]([O-])c1cc(-c2ccccc2)c(-c2ccc3ccc(C(F)(F)F)cc3n2)s1,0.007168881595134735,-3.468526487859542,0.0030288526322692633,-2.562808244729643
O=S(=O)(Oc1ccccc1)N1CCC(Cc2cccc(F)c2)CC1,0.008043073117733002,-3.2006161508637248,0.0019182859687134624,-3.8591080671313294
COc1cccc(/N=C/c2nnc(N3CCN(c4ccccc4)CC3)s2)c1,0.004826024174690247,-3.7594665374463725,0.009696976281702518,-2.58098084965575
CCCn1nnc(-c2ccccc2OCC(=O)N2CCCC(C(O)=Nc3ccc(Cl)cn3)C2)n1,0.005534663330763578,-3.783284785506048,0.0009611465502530336,-3.236569098075284
C[C@@]1(C(O)=NC2=Nc3ccccc3Sc3ccc(C(F)(F)F)cc32)[C@@H](O)CN1CCN1CCC1,0.025474919006228447,-1.5188345801985097,0.002806363394483924,-1.415388219832916
CCOc1cc2c(cc1OC)C(c1cccc3ccccc13)CC2.Cl,0.004922788590192795,-2.6309052401174453,0.007155237253755331,-3.0090505996510326
COc1ccc(CN(C)Cc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c(C)c1,0.011546948924660683,-3.514740020148965,0.0012515914859250188,-3.9391850282096597
CCC(=O)NC(O)=NCC(c1ccccn1)c1ccc(C(C)C)cc1,0.006337368860840797,-4.188322571267116,0.001621637144125998,-4.671569195372043
CCOP(=S)(OCC)Oc1ccccc1C(=O)OCC(=O)C(C)C,0.0025106428656727076,-3.6009145546130576,0.0005530094495043159,-3.842229985112413
OC(=NC1CCN(Cc2ccccn2)CC1)c1cc2ccccc2oc1=O,0.03705301880836487,-3.9185962719329916,0.0022781824227422476,-3.509213306550646
O=[N+]([O-])c1ccccc1NCc1nsc(-c2ccc(-c3ccccc3)s2)n1,0.004838505294173956,-3.3356655767468544,0.0017829311545938253,-2.9202779483958072
CC(C)(C)c1nc(Cc2ccc(CN3CC(O)=Nc4ccccc43)cc2)cs1,0.008094672113656998,-2.999962258596912,0.0015579307219013572,-3.6142095662915388
CS(=O)(=O)c1ccc(OCCN2CCN(c3ccccn3)CC2)c(N)c1.Cl,0.8580690026283264,-3.194772865349534,0.023230670019984245,-2.8143058892343102
NC(C(O)=Nc1ccc(N2CCCC2)c(C(F)(F)F)c1)c1c(O)cc(F)cc1F,0.003131151432171464,-3.1585456490033272,0.0026858809869736433,-3.53714009286307
O=c1cc(CCC2OC(CO)O2)[nH]c2c(-c3ccc4c(c3)OCO4)csc12,0.0045172725804150105,-3.526838558844497,0.004607935901731253,-3.1451430874114483
CN(C)c1ccccc1C(=O)N1C[C@@H](CN2CCN(c3ccccc3)CC2)CC1=O,0.06243239343166351,-2.614760247549409,0.004023551940917969,-2.7941398251445255
COc1ccc2c(c1OC)C(O)=NC21CCN(S(=O)(=O)c2c(F)cccc2F)CC1,0.004222044255584478,-1.7564147553890002,0.001529410481452942,-2.902619267187706
O=C(O)C(=O)O.OC(c1ccccc1)N1CCC(O)(c2nc3ccc(N4CCCNC4=O)cc3o2)CC1,0.010073729790747166,-2.6025438669934515,0.0015406118473038077,-2.6280021564973866
COc1ccc(OC)c(S(=O)(=O)N2CCC(C(F)(F)F)CC2)c1,0.0038044850807636976,-3.843664864026522,0.0011153691448271275,-3.6204730809516468
COc1ccc(CCN=C(O)CSc2nc(-c3cccs3)n[nH]2)cc1OC.Cl,0.006827333010733128,-3.509709546934371,0.002280024578794837,-3.2132504574492833
CCn1ccc2c(ccc3nc(N)nn32)c1=O,0.004915772005915642,-3.1136952884630795,0.0026344312354922295,-2.94349729431955
CCOC(=O)C1=C(N)Oc2cc(Br)nc(SC)c2C1C,0.006464778911322355,-3.0597193548665227,0.002984497230499983,-3.850221978051567
COc1cccc(C2(C(O)=NC(=S)N(C)C)SC2)c1,0.005724558141082525,-3.854338915820984,0.00046317785745486617,-3.634310025673533
CS(=O)(=O)c1ccc(OCC(O)CN2CCCCCC2)cc1,0.03590993583202362,-3.279978588106124,0.002736450172960758,-3.5301106250832275
O=C1NC2CCC1CN(Cc1ccccc1)C2=O,0.004272591322660446,-2.3354603268595375,0.00025660538813099265,-4.054285542674593
COc1cc(NC(C)=O)ccc1S(=O)(=O)N1CCCCC1,0.005906220991164446,-4.464854044772286,0.000492403341922909,-5.014712803839757
COC(=O)[C@@H]1[C@H]2O[C@H](N=C(O)[C@H]2CN=C(O)[C@@H](C)OC2(C)[C@H](C)O)[C@@H]1O,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1ccc(NC(=O)C2CC(=O)N(Cc3ccco3)C2)cc1,0.00470895366743207,-3.869894364472781,0.0006349427858367562,-4.29917799141957
Cc1ccc(C)c(C(=O)N2CCC(N3CCN(Cc4ccccc4)CC3)CC2)c1,0.02628841996192932,-4.3724099033351775,0.0040900311432778835,-3.714099552595469
COC(=O)c1c(SCC(=O)c2ccc(S(N)(=O)=O)cc2)nc(=NCc2ccco2)[nH]c1N,0.006062720902264118,-3.451821535878363,0.0009140108013525605,-3.9864801318207075
CCOc1cc(S(=O)(=O)N2CCN(Cc3cnn(CC4CC4)c3)CC2)ccc1Br,0.007968811318278313,-3.2602251861568377,0.0012842431897297502,-4.335770570560505
CC1(C)CN(C(=O)CSc2nc(-c3ccco3)nc3ccccc23)CCO1,0.004242070484906435,-2.91772845148353,0.001368081197142601,-2.667344283007185
CCS(=O)(=O)c1ccc(C(=O)N2CCCC4(CC2)OCCO4)cc1,0.004620029125362635,-3.1603707497684876,0.0016463216161355376,-3.7542029922856432
Cc1snc2sc(C(=O)N3CCC(O)(C(F)(F)F)CC3)cc12,0.0055445218458771706,-2.2363695029575217,0.0013204161077737808,-1.8057084722425072
O=S(=O)(CCCN1C(=O)C2(CCCCC2)N=C1O)NCCN1CCOCC1,0.0013031673151999712,-0.25025662583951647,0.0002170513034798205,-3.086694215140912
CN=C(S)N1N=C(c2ccccc2)N(c2ccc(Br)cc2)CC1c1ccccc1,0.0038103703409433365,-3.4619422513114677,0.0006745998980477452,-3.001349591430564
CN(Cc1ccc(C(C#N)(C(N)=O)c2ccccc2)cc1)C(=O)N1CCN(Cc2ccccc2)CC1,0.00374000146985054,-4.0504273100314725,7.467997056664899e-05,-5.070959520543759
CCSc1nc(O)c2cnn(-c3ccc(C)cn3)c2n1,0.0034351234789937735,-2.866719668163653,0.002302378648892045,-3.068859982835888
CCOC(=O)C1=C(C(=O)OC)C(C)S(=O)(=O)N=C1O,0.004079958889633417,-1.9166883624571422,0.003950304351747036,-4.639169507518653
O=C1OC(C(O)=NCc2ccc(C3=CCCO3)cc2)=Nc2ccc(Cl)cc21,0.004560341592878103,-3.4970137335827105,0.001957072876393795,-3.0294011315907654
O=C1N=C(O)c2ccccc2C1O,0.003132766578346491,-3.563169620950405,0.0011688253143802285,-3.699214304357099
CCCN=C(O)CCN(C)C(=O)c1cc2c(s1)CCCC2,0.00429740222170949,-3.3139661514144443,0.0005003754631616175,-3.465223453654337
COc1ccccc1C(=O)OCC(=O)NCc1ccccc1Br,0.003819182747974992,-3.707618426542922,0.0012948723742738366,-3.7741353648209874
Cc1ccc(N2CCN(S(=O)(=O)c3cn(C)nc3Oc3ccccc3)CC2)cc1,0.003965724725276232,-3.292781662589138,0.003062116913497448,-3.5455874454160736
CCc1c(O)nc(C(C)(C)C)nc1-c1ccc(CC(O)=NC(C)(C)C)s1,0.0027694953605532646,-2.2176034664914708,0.010048715397715569,-3.233037983182065
CN(C)Cc1nc(-c2ccc3c(c2)OCCO3)no1,0.006785164587199688,-3.311758344409533,0.001174166682176292,-3.208152818334257
c1ccc(N2CCN(Cc3ccc(OCc4ccccc4)cc3)CC2)cc1,0.5583521723747253,-3.383343380401731,0.006535037886351347,-3.1803563537968405
COc1ccccc1N=C(O)C(C)C(=O)N1CCN(Cc2ccccc2)CC1,0.021206313744187355,-3.5023529748561484,0.0020292415283620358,-4.046196232050821
Cc1noc(N)c1C(=O)OCc1ccccc1,0.00482828076928854,-3.5947028243434485,0.0017737612361088395,-4.4097876901428865
Oc1nc2ccccc2n1Cc1nc(-c2ccc(-c3ccccc3)cc2)no1,0.002371341222897172,-2.7598079547149563,0.0034727409947663546,-2.955277333750452
COc1ccc(/C=N/N2C(=O)C(=O)c3ccccc32)cc1,0.0035607812460511923,-4.571477886236674,0.0032427902333438396,-3.8569364141226608
N#CC1(C(=O)O)CC(=O)CC2(CC3CCCCC32)C=CC1,0.0060454183258116245,-2.434500312492971,2.3384595806419384e-06,-4.225245762553787
O=C(c1occc1-c1ccccc1)N1CCN(c2ccccc2)C[C@H]2CCCCC2)CC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C/N=C(/c1cccnc1)c1ccc2sccc2c1,0.0050725615583360195,-4.149770132977029,0.0031162879895418882,-3.498731401110174
Cc1c(C(=O)O)sc2nc3n(C)c(=O)c4cc(N(CC(C)C)CN5CCCC5)ccc4c3cc2c1C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
C#CCN(Cc1ccco1)C(=O)NC1(C(O)=NCCC)CCCCC1,0.003680566558614373,-3.549760317999093,0.0001382801856379956,-4.371331549966644
O=C(c1ccco1)N1CCN(C(=O)c2cc3c([nH]c2=NC(O)=NC2CCCC2)CC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COC(C)C(=O)O.OCCCN(c1ccc(S(=O)(=O)N(C)C)cc1)C(=O)c1ccc(O)cc1,0.011483424343168736,-2.8905594238340044,0.0016870605759322643,-3.8820940846263206
Cc1c(C(O)=NC(C)C)sc2nc(-c3cccnc3)cn12,0.0038960124365985394,-3.5446883064806185,0.002181763295084238,-3.0029668725542162
CCCn1c(SCC(=O)OCC)nc2sc(C(=O)OCC)cc2c1=O,0.005807623732835054,-3.902457440880031,0.0021817218512296677,-3.5766770564785997
CCOC(=O)c1cc2n(n1)CCN(S(=O)(=O)N1CC(O)C(O)C1)C2,0.00757586769759655,-4.131067834730599,0.0009087494690902531,-3.4854677915037238
COc1cc(NS(=O)(=O)c2c(C)[nH]c3ccccc23)c(OC)cc1Cl,0.0034844554029405117,-3.3876747639620186,0.0020332643762230873,-3.683883944718766
O=C(CN1CCN(Cc2ccccc2)CC1)N1CCN(CCCc2ccccc2)CC1,0.02412468008697033,-3.2479868479919123,0.007526824250817299,-3.5782163866210404
O=C(CCc1cccc(OC(F)(F)F)c1)Nc1ccc(Oc2ccccc2O)cc1,0.005430854391306639,-3.2582420090685766,0.004680586978793144,-4.1068766327213915
O=C(CCC(O)=Nc1ccc(Br)cc1)Nc1ccccc1Sc1ccc(C(F)(F)F)cc1,0.010492442175745964,-3.4214735126023674,0.0013003647327423096,-3.6195531625398303
COc1ccc(N=C(O)c2ccc(Cl)cn2)c(Cl)c1,0.0024590000975877047,-3.76251452587777,0.0020023591350764036,-3.0899129612471006
C#CCN(C)CCOc1ccc(CN2CCN(c3ccccn3)CC2)cc1,0.05658803880214691,-3.559732464765319,0.0009592861752025783,-3.2115765287181666
CC(C)CN=C(O)COc1ccccc1NC(=O)c1ccc[nH]c1=O,0.004123146180063486,-3.9266263645317987,0.0006829407648183405,-3.8089328119453185
Cc1ccc(N=C(O)CN=C(O)C(C)(C)Oc2ccccc2)cc1F,0.008191043511033058,-3.406056571117176,0.0023044957779347897,-3.652012645089988
Cc1ccc(NS(=O)(=O)c2ccc(Cl)c(C(O)=NCC3CC3)c2C)cc1,0.012492182664573193,-3.974930704270204,0.0009151576668955386,-4.162593508698027
O=C(Cc1ccc[nH]1)N1CCN(c2cc(-c3cccs3)nc(-c3ccc(F)cc3)[nH]2)CC1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1ccc(CCN=C(O)Cn2nnc3c2c(C)nn3-c2ccc(OC)c(OC)c2)cc1,0.005269920453429222,-3.733046330031632,0.002217219676822424,-3.56932860295473
Fc1ccccc1CN1CCN(S(=O)(=O)c2ccc3c(c2)OCO3)CC1,0.012820013798773289,-3.0719228008561883,0.001125182956457138,-3.5826438571035983
Cc1ccc(C)c(NC(=O)c2cnn(-c3ccc(C)cc3)c2N)c1,0.006010739598423243,-3.943842791494758,0.0012792374473065138,-3.9465743938944757
Cn1c2c(c(=O)n(C)c1=O)CCN(Cc1cccc(C(F)(F)F)c1)C2,0.04914679750800133,-2.971564458688099,0.0019461855990812182,-3.618513493345282
CC12CCC(=O)C=C1c1cccc(F)c1-2,0.006707692984491587,-0.6464138914603335,0.001676751533523202,-2.545895524554738
CN1CCc2nc(-c3ccccc3)sc2C1.Cl,0.10723509639501572,-2.765376522041067,0.00411973288282752,-2.5101009342887557
Cc1ccc(N2CCN(C(=O)COc3ccccc3C(=O)N=c3cccnc3)CC2)cc1.Cl,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC(CCSc1nc2ccccc2s1)=N/N=C/c1ccccc1,0.0113163897767663,-3.653137341017509,0.0024147662334144115,-3.387490186466605
O=C1OC(C(=O)O)C(c2ccccc2)=C[C@H]1CN[C@H]1C[C@@H](CO)Oc1ccccc1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
COc1cccc(-c2nc(COc3cc(-n4cnnc4S(C)(=O)=O)ccc3Cl)c(C)o2)c1,0.004186708480119705,-2.6693587826290432,0.002068537985906005,-3.080263259190933
O=C(NCCCOC(=O)c1cc(Br)ccc1O)c1c(O)ncnc1O,0.004292522557079792,-1.5254817242001268,0.0064238253980875015,-3.660058703409486
CCC[C@H](CN)Cc1cccc(OCCCCCN2CCN(c3ncccn3)CC2)c1.O=C(O)C(=O)O,0.8141880631446838,-3.0611556340305275,0.014332705177366734,-3.1772788232363247
CN(C(=O)C1CC2C=CC1C2)c1nc(-c2ccc(OCc3ccc(F)c(Cl)c3F)o2)cs1,0.00453712185844779,-2.8843704704010227,0.0012355243088677526,-2.7254642844454975
O=S1(=O)N(C2CCCCC2)c2cc(OCc3ccccc3)ccc21,0.012262251228094101,-3.8612354742605675,0.001294572721235454,-4.117027528922804
O=C(O)C(=O)O.Oc1ccc(-n2cnc3ccccc32)cc1,0.023258307948708534,-2.318802590083769,0.004038654733449221,-3.305825478487318
Cc1c(C(=O)N=c2[nH]nc(-c3cccc(F)c3)o2)cc(C(C)(C)c2cccs2)n1C,0.0045191445387899876,-3.759146323277126,0.0030521834269165993,-3.3440763316074493
Cc1cc(C)c(C(O)=NCC(=O)Nc2ccc(N3CCCC3=O)cc2)c(C)c1,0.0063315765000879765,-4.125143272601816,0.0007259068661369383,-4.7145989439469655
O=S1(=O)c2ccc(N=C(O)COc3cccc4cccnc34)cc2N1Cc1ccccc1,0.0028110004495829344,-3.981543233018588,0.001897956826724112,-4.155537895868585
O=S(=O)(CCc1ccccc1)N1CCN(c2ccc(Cl)cc2)CC1,0.003011322347447276,-1.8008651712933865,0.0022562150843441486,-2.5222106514978577
OCCN1CCN(C(c2ccccc2)c2ccsc2)CC1,0.026772772893309593,-3.970660197401936,0.002547151641920209,-4.053088357625671
CCOc1ccccc1N1CCN(Cc2cc3ccc(OC)cc3[nH]c2=O)CC1,0.21872961521148682,-2.7940170787208074,0.007562525570392609,-2.598613506856149
O=S(=O)(c1ccc(Sc2ccc(N3CCCCCC3)nn2)cc1)N1CCN(c2cc(O)ccc2)CC1,0.003961476031690836,-2.6864024910167843,0.002828166587278247,-3.2745684261349215
C=CCn1c(C)nnc1SCC(O)=Nc1ccc2c(c1)oc(=O)n2C,0.0066598812118172646,-3.581953241965098,0.0015915412222966552,-3.654041468661032
O=C(O)c1cccc(-n2c(=N(C(=O)c3ccn(Cc4ccccc4)n3)s-c3ccccc3)cc2=O)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1ccc2c(c1)N(C(=O)c1c[nH]c3ccccc13)C(=O)C(C)(C(=N)O)c1ccccn1S2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCCn1nnc(/C(=C\C#N)C(O)=NC2CCCCC2)c1C,0.004191400948911905,-3.9873008111657713,0.00037412199890241027,-4.716083078984697
CCS(=O)(=O)c1ccc(-c2nc3ccc(N=C(O)C(C)N4CCOCC4)cc3s2)cc1,0.009032047353684902,-3.3446504503371868,0.0014076640363782644,-3.5391551176579368
CN(CCN=C(O)CCOC(C)(C)O)Cc1ccc(/C=C2\CS(=O)(=O)c3ccccc32)cc1,0.01055640447884798,-2.7489218844944383,0.000781453971285373,-3.809734916244745
O=C(C1CCC1)N1CCN(C(=O)c2ccc(CN3CCOCC3)cc2)CC1,0.001885129138827324,-4.200399233122605,0.0004932329757139087,-3.883403919333392
COc1ccc(N2CCC(N=C(O)c3ccc4nc(OC)sc4c3)C2)cc1,0.004453086759895086,-3.8382510384207835,0.005756703205406666,-2.3861755577699335
CCCn1c(C(C)O)nc2cc(OP(=O)(OC)OC)ccc21,0.0022304453887045383,-3.0442348444070193,0.0023905890993773937,-3.1271306814350837
CC(O)=Nc1ccc(C(O)=NN=C(O)c2nnc3n2CC=CC3)cc1,0.003156556049361825,-3.9664819978756247,0.0023570647463202477,-3.7340866360679366
O=C(NNCC(O)=Nc1ccccc1)c1cccc(-c2nc3ccccc3[nH]2)c1,0.0037282046396285295,-3.442497294345328,0.0017553562065586448,-3.1940687060601434
COc1ccc(CN2CCC(c3nnc4n3CCCCC4)CC2CO)cc1OC,0.023859931156039238,-3.0389040031016994,0.0016143349930644035,-3.00738796816357
CC(=O)c1c(C)[nH]c(-c2csc(N/N=C(\c3ccccc3)n2)c1C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CCSc1ccc(OCC(O)CN2CCOCC2)cc1.Cl,0.007558442652225494,-3.423938487861969,0.005325044970959425,-3.0565227472090566
COc1ccc(N=C(O)c2cc(Cl)ccc2O)c(OC)c1,0.005145990755409002,-3.249380319626085,0.006124978419393301,-3.471508271688193
CN1CCC(COc2ccccc2)C1.Cl,0.2361029088497162,-3.3070524699629282,0.0025339059066027403,-3.389349632077438
Br.COc1cccc(CN2CCC(C(O)=NCCCOc3cccnc3)(CCc3ccccc3)CC2)c1,0.018845029175281525,-2.8040434445120153,0.001994927180930972,-3.419350027462534
COc1ccc(C)cc1N=C(O)c1nn(-c2ccccc2Cl)cc1CO,0.005651458632200956,-3.3447996651554592,0.0025990114081650972,-3.465040357612547
CCOc1cccc2sc(N(C(=O)c3cccs3)C3CCOCC3)nc12.O=C(O)C(=O)O,0.005012136418372393,-3.7428399543985145,0.0017300507752224803,-3.6255301306841172
CCn1nc(C#N)c2c1C(c1ccccc1)N(CCc1ccccc1)CC(O)=N2C,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
CC1CCc2cc3oc4cc(O)ccc4c(=O)c3cc2C1,0.014650101773440838,-1.5534238950690433,0.008289987221360207,-3.0170459817632826
CCn1c(O)nc2cc(C(=O)OCC(O)=Nc3cccc(OC)c3)ccc21,0.0028540699277073145,-4.1033950166855115,0.0029540155082941055,-3.948841750695812
COc1cccc(CN2Cc3cc(NC(=O)CCN4CCN(c5ccccn5)CC4)ccc3C2=O)c1,0.07981164753437042,-4.145010120274367,0.00469240453094244,-3.9651785333545115
Cc1ccc(S(C)(=O)=O)cc1C(O)C(O)COc1ccccc1Cl,0.003959959838539362,-2.9973491069766345,0.006393104791641235,-2.980603091100762
C#CCN1CCN(C2=Cc3ccccc3C(=O)c3ccc(OC)c(OC)c3OC2)CC1,0.0070565142668783665,-2.6485054290853784,0.0008250526734627783,-2.9598887879153737
Cn1c(SCC(O)=Nc2ccccc2)nc2sccc2c1=O,0.0074962736107409,-3.583118068313245,0.0021709236316382885,-3.535531930228938
COc1cc(/C=C/c2nc(COc3cccc(CN5CCCC5)c3)no2)cc(OC)c1OC,0.020485885441303253,-3.84377046362572,0.002779575064778328,-4.063077541853638
COc1ccccc1-c1c(C)c(C(=O)CSc2nncn2-c2cccc(C)c2)c(C)n1N,0.005573893431574106,-3.1854031162969147,0.001740037463605404,-3.664571145303241
CCN(CC)S(=O)(=O)c1ccc(-n2cnnc2SCC(=O)c2ccc(F)cc2,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
OC(=N/N=C(O)Cc1ccc(Cl)cc1)c1cccc(Cl)c1Cl,0.005709822755306959,-3.87147734307999,0.0018954516854137182,-3.8605552440433932
O=C(CCCC(O)=Nc1cccc([N+](=O)[O-])c1)OCc1ncc(-c2ccccc2)n1Cc1ccccc1Cl,0.00526090431958437,-3.71430147810056,0.000623165862634778,-3.7867918282756388
Br.OC(COc1ccccc1O)CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1,0.014986890368163586,-2.363493328152939,0.007156457286328077,-3.2465012312227994
Cc1ccc(N=c2sc3ccccn3c2=O)c(C)c1,Invalid SMILES,Invalid SMILES,Invalid SMILES,Invalid SMILES
Cc1cc(=O)[nH]c(SCC(O)=NN=C(O)Cc2nc3ccccc3[nH]2)n1,0.0024720034562051296,-3.9858421705481777,0.002361488761380315,-4.462926696506898
CCN1CCC[C@]12CCc1ccc(OCC(O)=Nc3cc(C)c(C)cc3O)cc12.Cl,0.018344350159168243,-2.4678743781298143,0.004805798642337322,-3.1150755541212094
C=C(C)c1ccc(OCCCCN2CCN(c3ccccn3)CC2)cc1.Cl,0.8376213908195496,-2.5198575115977113,0.047849319875240326,-2.043760318913155
Cc1c(C(=O)N2CCN(C(=O)c3cn4cccnc4n3)CC2)nnn1-c1ccccc1,0.0034691784530878067,-3.9415682462816117,0.0014729228569194674,-3.0394751258407346
OC1=Nc2ccccc2[C@@H](c2ccccc2)C(c2ccc(F)cc2)C1O.Cl,0.006137108895927668,-2.7368099377969113,0.008031834848225117,-2.7223761021981083
CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccccn1,0.016470622271299362,-3.7297919423836197,0.0011480104876682162,-4.061944428315153
O=C(c1ccc(F)cc1)c1cnn(Cc2ccccc2F)c1-n1cnnn1,0.004339985083788633,-3.3967474218345517,0.0006876722327433527,-3.540406932949386
O=C(NCC(c1ccccc1)N1CCC(O)(c2cccnc2)CC1)c1ccc(O)c(O)c1,0.05470491200685501,-1.566904090058978,0.006494028959423304,-2.8456176121765315
CCN(Cc1cccs1)C(=O)CSc1nnc(-c2ccccc2)o1,0.006131893955171108,-3.473784637133071,0.0011645223712548614,-3.576561421120342
CC(O)=Nc1ccccc1OCc1cnccn1,0.0011963254073634744,-3.90520727659691,0.0011967152822762728,-4.198283599460211
CCOC(=O)c1ccc(NC(=O)c2ccc3nccnc3c2)cc1,0.0027412651106715202,-4.172461585313444,0.0017172202933579683,-3.334642648988863
